track_id,HaloCatalogueIndex,corrected_bh_mass,first_snapshot_with_bh
739322,739322,167106.96875,GalaxyProperties_SFR_GE_0_z0.0.txt
2821790,2821790,12791875.0,GalaxyProperties_SFR_GE_0_z0.0.txt
4092705,4092705,120489.78125,GalaxyProperties_SFR_GE_0_z0.0.txt
7428728,7428728,3421969.5,GalaxyProperties_SFR_GE_0_z0.0.txt
12748208,12748208,5557126.0,GalaxyProperties_SFR_GE_0_z0.0.txt
12748502,12748502,235319.96875,GalaxyProperties_SFR_GE_0_z0.0.txt
12754477,12754477,12486852.0,GalaxyProperties_SFR_GE_0_z0.0.txt
5566943,5566943,338979.90625,GalaxyProperties_SFR_GE_0_z0.0.txt
9795286,9795286,986556.625,GalaxyProperties_SFR_GE_0_z0.0.txt
4095334,4095334,378299.1875,GalaxyProperties_SFR_GE_0_z0.0.txt
1484258,1484258,6109979.0,GalaxyProperties_SFR_GE_0_z0.0.txt
4101575,4101575,530214.625,GalaxyProperties_SFR_GE_0_z0.0.txt
7449635,7449635,593959.5,GalaxyProperties_SFR_GE_0_z0.0.txt
22111581,22111581,412256.75,GalaxyProperties_SFR_GE_0_z0.0.txt
10471512,10471512,352682.09375,GalaxyProperties_SFR_GE_0_z0.0.txt
21103791,21103791,126596.1875,GalaxyProperties_SFR_GE_0_z0.0.txt
27929979,27929979,2335327.25,GalaxyProperties_SFR_GE_0_z0.0.txt
194690,194690,236213.59375,GalaxyProperties_SFR_GE_0_z0.0.txt
424451,424451,118404.671875,GalaxyProperties_SFR_GE_0_z0.0.txt
877988,877988,49032340.0,GalaxyProperties_SFR_GE_0_z0.0.txt
879837,879837,48181.01953125,GalaxyProperties_SFR_GE_0_z0.0.txt
879939,879939,462895.25,GalaxyProperties_SFR_GE_0_z0.0.txt
903007,903007,16185248.0,GalaxyProperties_SFR_GE_0_z0.0.txt
1495939,1495939,2497370.5,GalaxyProperties_SFR_GE_0_z0.0.txt
